"sales__|","sales__|__datetime","sales__|__burger","sales__|__species","burger_sales__Krusty Combo","burger_sales__Krusty Deluxe","burger_sales__Krabby Pattie","species_sales__leatherback turtle","species_sales__salmon","species_sales__seahorse","species_sales__coral","species_sales__giant clam","species_sales__gray whale","species_sales__sea lion","burger_by_species__|","burger_by_species__|__leatherback turtle","burger_by_species__|__salmon","burger_by_species__|__seahorse","burger_by_species__|__coral","burger_by_species__|__giant clam","burger_by_species__|__gray whale","burger_by_species__|__sea lion"
"deugeZxniP","2019-04-06 10:14:12","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"L04yT5uDlu","2019-04-06 10:15:29","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"RDJG94X7o5","2019-04-06 10:18:39","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"6P49c5sMtq","2019-04-06 10:19:43","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"pLpEavuID5","2019-04-06 10:20:46","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"YNMXKcwIyi","2019-04-06 10:22:43","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"biiyA4TxZ6","2019-04-06 10:24:37","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"ZW6iiiKQ7M","2019-04-06 10:26:04","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"Gx9SDf7soX","2019-04-06 10:27:29","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"p5QDjGSHAo","2019-04-06 10:28:39","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"ApJ5c4mGLF","2019-04-06 10:30:13","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"Ir5AYCiUfm","2019-04-06 10:32:21","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"astUByXiUU","2019-04-06 10:35:25","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"9yZinJ9ky8","2019-04-06 10:36:29","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"ocsSMG86SK","2019-04-06 10:38:01","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"pWo7TCcIyb","2019-04-06 10:40:42","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"ZJAWXJitoU","2019-04-06 10:42:47","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"pgC6GYF698","2019-04-06 10:45:18","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"xpy54vFV83","2019-04-06 10:47:39","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"JKRvwyK3tA","2019-04-06 10:48:42","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"q0FWHO1Flp","2019-04-06 10:51:35","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"xNAkWXPdmL","2019-04-06 10:53:15","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"bypkz279eV","2019-04-06 10:54:16","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"5K3zoIKYmM","2019-04-06 10:55:45","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"MnQxzXCqVv","2019-04-06 10:57:26","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"JWMaphuWSZ","2019-04-06 10:58:43","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"0degfO41GI","2019-04-06 11:00:05","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"ILjqz2PG6J","2019-04-06 11:02:48","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"HFxixsNuKx","2019-04-06 11:03:57","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"PBWYrIekcz","2019-04-06 11:05:02","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"do0r9jBdyX","2019-04-06 11:07:43","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"H73XsLneen","2019-04-06 11:10:12","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"O3Gh1RNWFA","2019-04-06 11:12:03","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Pw7kFtUyZ5","2019-04-06 11:13:07","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"btRv8h2Lkm","2019-04-06 11:14:53","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"s4XENh5oEm","2019-04-06 11:16:40","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"qmlI1Ec3U7","2019-04-06 11:18:11","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"Xn92MzdXGf","2019-04-06 11:19:23","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"u4g7bXZvg3","2019-04-06 11:21:57","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"GotKxZ92UI","2019-04-06 11:24:15","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"M3VOMjjykm","2019-04-06 11:25:50","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"yGGKbETURA","2019-04-06 11:27:13","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"f3EOj2LyrY","2019-04-06 11:28:27","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"bADX8vLzyP","2019-04-06 11:29:45","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"vLgqb2iBvs","2019-04-06 11:33:53","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"T3qtKzwr7g","2019-04-06 11:35:41","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"67gEc5WjFy","2019-04-06 11:38:11","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"9BRBCd2xpM","2019-04-06 11:40:06","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"mPDdv4RGjF","2019-04-06 11:42:23","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"SZP1IRtVzX","2019-04-06 11:43:52","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"SnEvAwVec5","2019-04-06 11:45:40","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"2i459lrc8B","2019-04-06 11:47:19","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"rdWYvL2q52","2019-04-06 11:49:10","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"x8B7SN4rDC","2019-04-06 11:50:32","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"cV4fN0dInj","2019-04-06 11:52:01","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"xnY034Pmxx","2019-04-06 11:54:26","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"xlg6KfHUMG","2019-04-06 11:55:33","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"c6M95CweKp","2019-04-06 11:57:25","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"UGQqbhlxUc","2019-04-06 11:58:52","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"66d1D2wgQe","2019-04-06 12:00:27","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"h0MGpedsfn","2019-04-06 12:02:32","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"GxleZokNlH","2019-04-06 12:05:20","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"TpTUObJVHe","2019-04-06 12:06:36","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"yFGBuTmi9t","2019-04-06 12:09:34","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"qUM4h8zHIx","2019-04-06 12:10:41","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"H4PASew7ne","2019-04-06 12:13:20","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"YFFM92Zk1W","2019-04-06 12:14:41","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"7RcXcnqTSj","2019-04-06 12:15:55","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"iGqQX7yJhx","2019-04-06 12:17:03","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"BAmmSwpc9E","2019-04-06 12:18:16","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"YTy9L4WaV1","2019-04-06 12:19:39","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"bvh6fYY6ia","2019-04-06 12:20:56","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"4p22pJyxde","2019-04-06 12:22:35","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"JQU3J3cfIw","2019-04-06 12:24:52","Krusty Deluxe","coral","","","","","","","","","","","","","","","","","",""
"2aD2ogGBw1","2019-04-06 12:26:29","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"Ct2ULm4JDK","2019-04-06 12:27:47","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"xiFJKH3Cv5","2019-04-06 12:29:13","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"XEsY4rPJwb","2019-04-06 12:30:44","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"qaf83NMFU1","2019-04-06 12:32:34","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"vIcvmFpN1h","2019-04-06 12:34:43","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"J8XlbDjlaQ","2019-04-06 12:36:15","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"EwFe91obhh","2019-04-06 12:37:43","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"Mftsx5a74u","2019-04-06 12:39:12","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"V2AvGBZ2WX","2019-04-06 12:40:38","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"VVVxoBYlDM","2019-04-06 12:43:32","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"Yik5orb7vg","2019-04-06 12:46:01","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"T2comTQhq9","2019-04-06 12:47:55","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"sFU3jH63Sx","2019-04-06 12:50:12","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"fTWPgQR5CU","2019-04-06 12:51:50","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"JL9Ku83yl0","2019-04-06 12:54:42","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"OwuJsU0tO8","2019-04-06 12:56:51","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"orhJ5DXk3U","2019-04-06 12:58:58","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"7by5eHvB89","2019-04-06 13:00:06","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"wrXjWO6bpc","2019-04-06 13:02:53","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"tcDAi0Yut5","2019-04-06 13:04:40","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"bAnjjZvS5n","2019-04-06 13:06:07","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"EV9u8lK7B5","2019-04-06 13:07:58","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"LN24apGRsV","2019-04-06 13:09:25","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"OSbcjUWh0K","2019-04-06 13:11:11","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"6iihXYGqCf","2019-04-06 13:12:12","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"YDMBn3fI3g","2019-04-06 13:15:16","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"TBt919vrJV","2019-04-06 13:16:47","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"1WT3Pd0rvj","2019-04-06 13:18:17","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"KxR9nyP9mQ","2019-04-06 13:19:38","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"kAcmamtua1","2019-04-06 13:21:21","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"Kpk7tSEgpi","2019-04-06 13:23:08","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"Njh9OyoDHt","2019-04-06 13:24:53","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"3CjErllyh9","2019-04-06 13:26:27","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"6l4LOafG1i","2019-04-06 13:29:13","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"WIfvluDCWR","2019-04-06 13:32:34","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"1PyVS5iXzh","2019-04-06 13:33:49","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"U5W0Zpb6dw","2019-04-06 13:35:32","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"flFIDBgCgc","2019-04-06 13:36:33","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"pMbnAWOhS3","2019-04-06 13:38:23","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"vRiJ0iHVpL","2019-04-06 13:39:29","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"p4mYOp8Kxl","2019-04-06 13:41:08","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"B8MouMRfQj","2019-04-06 13:43:05","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"HP60ctgEoO","2019-04-06 13:45:02","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"FPLVuYjoXk","2019-04-06 13:47:48","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"HSUvyLQiGr","2019-04-06 13:49:34","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"CFEPq9kavY","2019-04-06 13:51:30","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"YTGdP0NMKU","2019-04-06 13:52:55","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"XnNWeJuoAX","2019-04-06 13:54:26","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"aQEQRyrCej","2019-04-06 13:55:30","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"XXSs5ST1Ia","2019-04-06 13:56:54","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"GXvNAUt7IM","2019-04-06 13:59:05","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"ShvcUcxicD","2019-04-06 14:00:08","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"B1LScM64tM","2019-04-06 14:01:16","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"gnGWwkcgb9","2019-04-06 14:04:06","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"gIR30KAeus","2019-04-06 14:06:09","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"tKvm7DBPje","2019-04-06 14:07:20","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"UAYBB4VcnO","2019-04-06 14:08:36","Krusty Combo","coral","","","","","","","","","","","","","","","","","",""
"5MGQzCFy3B","2019-04-06 14:09:50","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"0lf6G1AkFl","2019-04-06 14:12:02","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"z8hm9onvFC","2019-04-06 14:13:15","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"CUuaIjArMK","2019-04-06 14:15:37","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"UK8NajHUDG","2019-04-06 14:16:57","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"PSWwywmrh3","2019-04-06 14:18:13","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"lXsnRQae59","2019-04-06 14:20:17","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"l2gCxeeNfj","2019-04-06 14:21:31","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"x1fS89luCK","2019-04-06 14:22:36","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"5WjQSUFJwx","2019-04-06 14:24:45","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"gZvFuo9RlB","2019-04-06 14:26:39","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"qlf4bI6p1l","2019-04-06 14:28:15","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"GNDWdCPRWR","2019-04-06 14:29:31","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"dT69vNeSr5","2019-04-06 14:30:35","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"GbGJq8LvL0","2019-04-06 14:32:21","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"kmDpQfmfst","2019-04-06 14:34:48","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"b0bksg9TiF","2019-04-06 14:36:05","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"59UdGWJQ3u","2019-04-06 14:38:54","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"HBAoLC27Si","2019-04-06 14:41:04","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"bqqqLpccvn","2019-04-06 14:43:18","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"gzWqLw9bo9","2019-04-06 14:44:46","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"kBXuQ7GrhK","2019-04-06 14:45:51","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"77kLVWAjfX","2019-04-06 14:46:58","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"rWUZdjtMs5","2019-04-06 14:49:43","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"JvGLDsXF4y","2019-04-06 14:52:02","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"S9sYVadYpg","2019-04-06 14:53:56","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"4PEslNWlo8","2019-04-06 14:55:28","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"ZhAPTScu2A","2019-04-06 14:57:58","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"UOEiWViKev","2019-04-06 14:59:35","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"t245inQcM7","2019-04-06 15:01:40","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"B7pdgIbeFd","2019-04-06 15:04:34","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"96pxezPjGg","2019-04-06 15:07:41","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"CbAB23tz5p","2019-04-06 15:09:09","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"yF7aZvx3iM","2019-04-06 15:10:13","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"34B1Nl20P6","2019-04-06 15:12:44","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"1SyjNAMdfd","2019-04-06 15:14:02","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"0oQZd3y49e","2019-04-06 15:15:06","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"8PXYGqeCxd","2019-04-06 15:16:45","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"GNFuySxsTw","2019-04-06 15:17:59","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"BjryEDKYnJ","2019-04-06 15:20:20","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"0eMUnkij1K","2019-04-06 15:21:21","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"cOjelBfyrg","2019-04-06 15:22:42","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"RND5sp37Ho","2019-04-06 15:25:31","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"tDQLhWAY7U","2019-04-06 15:27:10","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"YHvagMvobW","2019-04-06 15:28:46","Krusty Deluxe","coral","","","","","","","","","","","","","","","","","",""
"jkCTy2feqZ","2019-04-06 15:30:18","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"pXO4aIZ36J","2019-04-06 15:31:56","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"kuHseFYGi7","2019-04-06 15:33:53","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"xyP0lGLoWY","2019-04-06 15:36:22","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"MfTQVqlGBf","2019-04-06 15:37:35","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"FFIWKiLAFx","2019-04-06 15:39:05","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"1ZQo4yTiO8","2019-04-06 15:40:23","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"x5Emu5ussM","2019-04-06 15:41:57","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"g1SP3BXDCN","2019-04-06 15:43:00","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"xy9a3hAYwJ","2019-04-06 15:44:42","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"uIb8Fx0QSS","2019-04-06 15:45:44","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"8LdgnH9CyZ","2019-04-06 15:46:48","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"USZro5P7Z7","2019-04-06 15:48:09","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"hLivmzQe9X","2019-04-06 15:49:15","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"oXY2lA2WPD","2019-04-06 15:50:22","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"TqFUpDtuw5","2019-04-06 15:51:43","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"m14zA6GYlh","2019-04-06 15:53:59","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"C6QFApxwy6","2019-04-06 15:55:07","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"G4z0etSedH","2019-04-06 15:57:23","Krusty Deluxe","coral","","","","","","","","","","","","","","","","","",""
"ngk3XjI9bu","2019-04-06 15:58:33","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"ixjf0D2xV7","2019-04-06 16:01:01","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"IPxdf8lL69","2019-04-06 16:02:33","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"Y5isSVQS3Q","2019-04-06 16:04:03","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"Ey1zLDyNy3","2019-04-06 16:06:30","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"tiF0aQgmPV","2019-04-06 16:08:00","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"3i7daGfrcj","2019-04-06 16:09:08","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"0v5jdKN0un","2019-04-06 16:11:28","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"BK4RWbKMAL","2019-04-06 16:13:22","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"yDMJjmayTz","2019-04-06 16:16:05","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"BF7TDYtKcW","2019-04-06 16:18:06","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"15c8l7HtGE","2019-04-06 16:19:12","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"BQqbicaNdS","2019-04-06 16:20:44","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"DH0LnedzEl","2019-04-06 16:22:46","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"O5VIHWvMWQ","2019-04-06 16:24:44","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"oZvKT84BhA","2019-04-06 16:26:33","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"r2gMKIo5Rb","2019-04-06 16:29:03","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"G6DQg3iCPC","2019-04-06 16:30:19","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"KKKFlooL4g","2019-04-06 16:32:55","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"9Zy8puQf6w","2019-04-06 16:35:17","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"I6TOTJ8DCp","2019-04-06 16:37:10","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"elmGPa7qbH","2019-04-06 16:38:16","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"SFH9d1emEK","2019-04-06 16:40:43","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"7aYOZEqkyE","2019-04-06 16:42:27","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"Gc60MrZyt3","2019-04-06 16:44:33","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"mrxzbXvkrQ","2019-04-06 16:45:52","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"OQOmQo2u0v","2019-04-06 16:48:41","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"7F008esuTT","2019-04-06 16:49:51","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"FhFWxwhGf5","2019-04-06 16:51:18","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"npuucXmrEm","2019-04-06 16:54:19","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"p5UjUQmJbW","2019-04-06 16:56:02","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"O5yoaNJVT6","2019-04-06 16:57:25","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"6i3fo6T0uG","2019-04-06 16:58:45","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"3gzDiYsWWl","2019-04-06 17:00:47","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"dLZDABxuUp","2019-04-06 17:02:42","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"z6sp8yvrAZ","2019-04-06 17:04:13","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"0gOw3GXyPU","2019-04-06 17:06:01","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"AVxvW6FeT5","2019-04-06 17:07:13","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"iNV4hyie0B","2019-04-06 17:08:59","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"nC4QxKfnjU","2019-04-06 17:10:24","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"2OlLWNGFWb","2019-04-06 17:11:38","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"nFpPCbM3nZ","2019-04-06 17:13:12","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
